Pclass,Sex,Age,Fare,Survived
3,1,22,7.25,0
1,2,38,71.2833,1
3,2,26,7.925,1
1,2,35,53.1,1
3,1,35,8.05,0
3,1,NaN,8.4583,0
1,1,54,51.8625,0
3,1,2,21.075,0
3,2,27,11.1333,1
2,2,14,30.0708,1
3,2,4,16.7,1
1,2,58,26.55,1
3,1,20,8.05,0
3,1,39,31.275,0
3,2,14,7.8542,0
2,2,55,16,1
3,1,2,29.125,0
2,1,NaN,13,1
3,2,31,18,0
3,2,NaN,7.225,1
2,1,35,26,0
2,1,34,13,1
3,2,15,8.0292,1
1,1,28,35.5,1
3,2,8,21.075,0
3,2,38,31.3875,1
3,1,NaN,7.225,0
1,1,19,263,0
3,2,NaN,7.8792,1
3,1,NaN,7.8958,0
1,1,40,27.7208,0
1,2,NaN,146.5208,1
3,2,NaN,7.75,1
2,1,66,10.5,0
1,1,28,82.1708,0
1,1,42,52,0
3,1,NaN,7.2292,1
3,1,21,8.05,0
3,2,18,18,0
3,2,14,11.2417,1
3,2,40,9.475,0
2,2,27,21,0
3,1,NaN,7.8958,0
2,2,3,41.5792,1
3,2,19,7.8792,1
3,1,NaN,8.05,0
3,1,NaN,15.5,0
3,2,NaN,7.75,1
3,1,NaN,21.6792,0
3,2,18,17.8,0
3,1,7,39.6875,0
3,1,21,7.8,0
1,2,49,76.7292,1
2,2,29,26,1
1,1,65,61.9792,0
1,1,NaN,35.5,1
2,2,21,10.5,1
3,1,28.5,7.2292,0
2,2,5,27.75,1
3,1,11,46.9,0
3,1,22,7.2292,0
1,2,38,80,1
1,1,45,83.475,0
3,1,4,27.9,0
1,1,NaN,27.7208,0
3,1,NaN,15.2458,1
2,2,29,10.5,1
3,1,19,8.1583,0
3,2,17,7.925,1
3,1,26,8.6625,0
2,1,32,10.5,0
3,2,16,46.9,0
2,1,21,73.5,0
3,1,26,14.4542,0
3,1,32,56.4958,1
3,1,25,7.65,0
3,1,NaN,7.8958,0
3,1,NaN,8.05,0
2,1,0.83,29,1
3,2,30,12.475,1
3,1,22,9,0
3,1,29,9.5,1
3,2,NaN,7.7875,1
1,1,28,47.1,0
2,2,17,10.5,1
3,2,33,15.85,1
3,1,16,34.375,0
3,1,NaN,8.05,0
1,2,23,263,1
3,1,24,8.05,0
3,1,29,8.05,0
3,1,20,7.8542,0
1,1,46,61.175,0
3,1,26,20.575,0
3,1,59,7.25,0
3,1,NaN,8.05,0
1,1,71,34.6542,0
1,1,23,63.3583,1
2,2,34,23,1
2,1,34,26,0
3,2,28,7.8958,0
3,1,NaN,7.8958,0
1,1,21,77.2875,0
3,1,33,8.6542,0
3,1,37,7.925,0
3,1,28,7.8958,0
3,2,21,7.65,1
3,1,NaN,7.775,1
3,1,38,7.8958,0
3,2,NaN,24.15,1
1,1,47,52,0
3,2,14.5,14.4542,0
3,1,22,8.05,0
3,2,20,9.825,0
3,2,17,14.4583,0
3,1,21,7.925,0
3,1,70.5,7.75,0
2,1,29,21,0
1,1,24,247.5208,0
3,2,2,31.275,0
2,1,21,73.5,0
3,1,NaN,8.05,0
2,1,32.5,30.0708,0
2,2,32.5,13,1
1,1,54,77.2875,0
3,1,12,11.2417,1
3,1,NaN,7.75,0
3,1,24,7.1417,1
3,2,NaN,22.3583,1
3,1,45,6.975,0
3,1,33,7.8958,0
3,1,20,7.05,0
3,2,47,14.5,0
2,2,29,26,1
2,1,25,13,0
2,1,23,15.0458,0
1,2,19,26.2833,1
1,1,37,53.1,0
3,1,16,9.2167,0
1,1,24,79.2,0
3,2,NaN,15.2458,0
3,2,22,7.75,1
3,2,24,15.85,1
3,1,19,6.75,0
2,1,18,11.5,0
2,1,19,36.75,0
3,1,27,7.7958,1
3,2,9,34.375,0
2,1,36.5,26,0
2,1,42,13,0
2,1,51,12.525,0
1,2,22,66.6,1
3,1,55.5,8.05,0
3,1,40.5,14.5,0
3,1,NaN,7.3125,0
1,1,51,61.3792,0
3,2,16,7.7333,1
3,1,30,8.05,0
3,1,NaN,8.6625,0
3,1,NaN,69.55,0
3,1,44,16.1,0
2,2,40,15.75,1
3,1,26,7.775,0
3,1,17,8.6625,0
3,1,1,39.6875,0
3,1,9,20.525,1
1,2,NaN,55,1
3,2,45,27.9,0
1,1,NaN,25.925,0
3,1,28,56.4958,0
1,1,61,33.5,0
3,1,4,29.125,0
3,2,1,11.1333,1
3,1,21,7.925,0
1,1,56,30.6958,0
3,1,18,7.8542,0
3,1,NaN,25.4667,0
1,2,50,28.7125,0
2,1,30,13,0
3,1,36,0,0
3,2,NaN,69.55,0
2,1,NaN,15.05,0
3,1,9,31.3875,0
2,1,1,39,1
3,2,4,22.025,1
1,1,NaN,50,0
3,2,NaN,15.5,1
1,1,45,26.55,1
3,1,40,15.5,0
3,1,36,7.8958,0
2,2,32,13,1
2,1,19,13,0
3,2,19,7.8542,1
2,1,3,26,1
1,2,44,27.7208,1
1,2,58,146.5208,1
3,1,NaN,7.75,0
3,1,42,8.4042,0
3,2,NaN,7.75,1
2,2,24,13,0
3,1,28,9.5,0
3,1,NaN,69.55,0
3,1,34,6.4958,0
3,1,45.5,7.225,0
3,1,18,8.05,1
3,2,2,10.4625,0
3,1,32,15.85,0
3,1,26,18.7875,1
3,2,16,7.75,1
1,1,40,31,1
3,1,24,7.05,0
2,2,35,21,1
3,1,22,7.25,0
2,1,30,13,0
3,1,NaN,7.75,0
1,2,31,113.275,1
3,2,27,7.925,1
2,1,42,27,0
1,2,32,76.2917,1
2,1,30,10.5,0
3,1,16,8.05,1
2,1,27,13,0
3,1,51,8.05,0
3,1,NaN,7.8958,0
1,1,38,90,1
3,1,22,9.35,0
2,1,19,10.5,1
3,1,20.5,7.25,0
2,1,18,13,0
3,2,NaN,25.4667,0
1,2,35,83.475,1
3,1,29,7.775,0
2,1,59,13.5,0
3,2,5,31.3875,1
2,1,24,10.5,0
3,2,NaN,7.55,0
2,1,44,26,0
2,2,8,26.25,1
2,1,19,10.5,0
2,1,33,12.275,0
3,2,NaN,14.4542,0
3,2,NaN,15.5,1
2,1,29,10.5,0
3,1,22,7.125,0
3,1,30,7.225,0
1,1,44,90,0
3,2,25,7.775,0
2,2,24,14.5,1
1,1,37,52.5542,1
2,1,54,26,0
3,1,NaN,7.25,0
3,2,29,10.4625,0
1,1,62,26.55,0
3,1,30,16.1,0
3,2,41,20.2125,0
3,2,29,15.2458,1
1,2,NaN,79.2,1
1,2,30,86.5,1
1,2,35,512.3292,1
2,2,50,26,1
3,1,NaN,7.75,0
3,1,3,31.3875,1
1,1,52,79.65,0
1,1,40,0,0
3,2,NaN,7.75,0
2,1,36,10.5,0
3,1,16,39.6875,0
3,1,25,7.775,1
1,2,58,153.4625,1
1,2,35,135.6333,1
1,1,NaN,31,0
3,1,25,0,1
2,2,41,19.5,1
1,1,37,29.7,0
3,2,NaN,7.75,1
1,2,63,77.9583,1
3,2,45,7.75,0
2,1,NaN,0,0
3,1,7,29.125,0
3,2,35,20.25,1
3,1,65,7.75,0
3,1,28,7.8542,0
3,1,16,9.5,0
3,1,19,8.05,1
1,1,NaN,26,0
3,1,33,8.6625,0
3,1,30,9.5,1
3,1,22,7.8958,0
2,1,42,13,1
3,2,22,7.75,1
1,2,26,78.85,1
1,2,19,91.0792,1
2,1,36,12.875,0
3,2,24,8.85,0
3,1,24,7.8958,0
1,1,NaN,27.7208,0
3,1,23.5,7.2292,0
1,2,2,151.55,0
1,1,NaN,30.5,1
1,2,50,247.5208,1
3,2,NaN,7.75,1
3,1,NaN,23.25,1
3,1,19,0,0
2,2,NaN,12.35,1
3,1,NaN,8.05,0
1,1,0.92,151.55,1
1,2,NaN,110.8833,1
1,2,17,108.9,1
2,1,30,24,0
1,2,30,56.9292,1
1,2,24,83.1583,1
1,2,18,262.375,1
2,2,26,26,0
3,1,28,7.8958,0
2,1,43,26.25,0
3,2,26,7.8542,1
2,2,24,26,1
2,1,54,14,0
1,2,31,164.8667,1
1,2,40,134.5,1
3,1,22,7.25,0
3,1,27,7.8958,0
2,2,30,12.35,1
2,2,22,29,1
3,1,NaN,69.55,0
1,2,36,135.6333,1
3,1,61,6.2375,0
2,2,36,13,1
3,2,31,20.525,1
1,2,16,57.9792,1
3,2,NaN,23.25,1
1,1,45.5,28.5,0
1,1,38,153.4625,0
3,1,16,18,0
1,2,NaN,133.65,1
3,1,NaN,7.8958,0
1,1,29,66.6,0
1,2,41,134.5,1
3,1,45,8.05,1
1,1,45,35.5,0
2,1,2,26,1
1,2,24,263,1
2,1,28,13,0
2,1,25,13,0
2,1,36,13,0
2,2,24,13,1
2,2,40,13,1
3,2,NaN,16.1,1
3,1,3,15.9,1
3,1,42,8.6625,0
3,1,23,9.225,0
1,1,NaN,35,0
3,1,15,7.2292,0
3,1,25,17.8,0
3,1,NaN,7.225,0
3,1,28,9.5,0
1,2,22,55,1
2,2,38,13,0
3,2,NaN,7.8792,1
3,2,NaN,7.8792,1
3,1,40,27.9,0
2,1,29,27.7208,0
3,2,45,14.4542,0
3,1,35,7.05,0
3,1,NaN,15.5,0
3,1,30,7.25,0
1,2,60,75.25,1
3,2,NaN,7.2292,1
3,2,NaN,7.75,1
1,2,24,69.3,1
1,1,25,55.4417,1
3,1,18,6.4958,0
3,1,19,8.05,0
1,1,22,135.6333,0
3,2,3,21.075,0
1,2,NaN,82.1708,1
3,2,22,7.25,1
1,1,27,211.5,0
3,1,20,4.0125,0
3,1,19,7.775,0
1,2,42,227.525,1
3,2,1,15.7417,1
3,1,32,7.925,0
1,2,35,52,1
3,1,NaN,7.8958,0
2,1,18,73.5,0
3,1,1,46.9,0
2,2,36,13,1
3,1,NaN,7.7292,0
2,2,17,12,1
1,1,36,120,1
3,1,21,7.7958,1
3,1,28,7.925,0
1,2,23,113.275,1
3,2,24,16.7,1
3,1,22,7.7958,0
3,2,31,7.8542,0
2,1,46,26,0
2,1,23,10.5,0
2,2,28,12.65,1
3,1,39,7.925,1
3,1,26,8.05,0
3,2,21,9.825,0
3,1,28,15.85,0
3,2,20,8.6625,0
2,1,34,21,0
3,1,51,7.75,0
2,1,3,18.75,1
3,1,21,7.775,0
3,2,NaN,25.4667,0
3,1,NaN,7.8958,0
3,1,NaN,6.8583,0
1,2,33,90,1
2,1,NaN,0,0
3,1,44,7.925,1
3,2,NaN,8.05,0
2,2,34,32.5,1
2,2,18,13,1
2,1,30,13,0
3,2,10,24.15,0
3,1,NaN,7.8958,0
3,1,21,7.7333,0
3,1,29,7.875,0
3,2,28,14.4,0
3,1,18,20.2125,0
3,1,NaN,7.25,0
2,2,28,26,1
2,2,19,26,1
3,1,NaN,7.75,0
3,1,32,8.05,1
1,1,28,26.55,1
3,2,NaN,16.1,1
2,2,42,26,1
3,1,17,7.125,0
1,1,50,55.9,0
1,2,14,120,1
3,2,21,34.375,0
2,2,24,18.75,1
1,1,64,263,0
2,1,31,10.5,0
2,2,45,26.25,1
3,1,20,9.5,0
3,1,25,7.775,0
2,2,28,13,1
3,1,NaN,8.1125,1
1,1,4,81.8583,1
2,2,13,19.5,1
1,1,34,26.55,1
3,2,5,19.2583,1
1,1,52,30.5,1
2,1,36,27.75,0
3,1,NaN,19.9667,0
1,1,30,27.75,0
1,1,49,89.1042,1
3,1,NaN,8.05,0
3,1,29,7.8958,1
1,1,65,26.55,0
1,2,NaN,51.8625,1
2,2,50,10.5,1
3,1,NaN,7.75,0
1,1,48,26.55,1
3,1,34,8.05,0
1,1,47,38.5,0
2,1,48,13,0
3,1,NaN,8.05,0
3,1,38,7.05,0
2,1,NaN,0,0
1,1,56,26.55,0
3,1,NaN,7.725,0
3,2,0.75,19.2583,1
3,1,NaN,7.25,0
3,1,38,8.6625,0
2,2,33,27.75,1
2,2,23,13.7917,1
3,2,22,9.8375,0
1,1,NaN,52,0
2,1,34,21,0
3,1,29,7.0458,0
3,1,22,7.5208,0
3,2,2,12.2875,1
3,1,9,46.9,0
2,1,NaN,0,0
3,1,50,8.05,0
3,2,63,9.5875,1
1,1,25,91.0792,1
3,2,NaN,25.4667,0
1,2,35,90,1
1,1,58,29.7,0
3,1,30,8.05,0
3,1,9,15.9,1
3,1,NaN,19.9667,0
3,1,21,7.25,0
1,1,55,30.5,0
1,1,71,49.5042,0
3,1,21,8.05,0
3,1,NaN,14.4583,0
1,2,54,78.2667,1
3,1,NaN,15.1,0
1,2,25,151.55,0
3,1,24,7.7958,0
3,1,17,8.6625,0
3,2,21,7.75,0
3,2,NaN,7.6292,0
3,2,37,9.5875,0
1,2,16,86.5,1
1,1,18,108.9,0
2,2,33,26,1
1,1,NaN,26.55,1
3,1,28,22.525,0
3,1,26,56.4958,1
3,1,29,7.75,1
3,1,NaN,8.05,0
1,1,36,26.2875,1
1,2,54,59.4,1
3,1,24,7.4958,0
1,1,47,34.0208,0
2,2,34,10.5,1
3,1,NaN,24.15,0
2,2,36,26,1
3,1,32,7.8958,0
1,2,30,93.5,1
3,1,22,7.8958,0
3,1,NaN,7.225,0
1,2,44,57.9792,1
3,1,NaN,7.2292,0
3,1,40.5,7.75,0
2,2,50,10.5,1
1,1,NaN,221.7792,0
3,1,39,7.925,0
2,1,23,11.5,0
2,2,2,26,1
3,1,NaN,7.2292,0
3,1,17,7.2292,0
3,2,NaN,22.3583,1
3,2,30,8.6625,0
2,2,7,26.25,1
1,1,45,26.55,0
1,2,30,106.425,1
3,1,NaN,14.5,0
1,2,22,49.5,1
1,2,36,71,1
3,2,9,31.275,0
3,2,11,31.275,0
2,1,32,26,1
1,1,50,106.425,0
1,1,64,26,0
2,2,19,26,1
2,1,NaN,13.8625,1
3,1,33,20.525,0
2,1,8,36.75,1
1,1,17,110.8833,1
2,1,27,26,0
3,1,NaN,7.8292,0
3,1,22,7.225,1
3,2,22,7.775,1
1,1,62,26.55,0
1,2,48,39.6,1
1,1,NaN,227.525,0
1,2,39,79.65,1
3,2,36,17.4,1
3,1,NaN,7.75,0
3,1,40,7.8958,0
2,1,28,13.5,0
3,1,NaN,8.05,0
3,2,NaN,8.05,0
3,1,24,24.15,0
3,1,19,7.8958,0
3,2,29,21.075,0
3,1,NaN,7.2292,0
3,1,32,7.8542,1
2,1,62,10.5,1
1,2,53,51.4792,1
1,1,36,26.3875,1
3,2,NaN,7.75,1
3,1,16,8.05,0
3,1,19,14.5,0
2,2,34,13,1
1,2,39,55.9,1
3,2,NaN,14.4583,0
3,1,32,7.925,1
2,2,25,30,1
1,2,39,110.8833,1
2,1,54,26,0
1,1,36,40.125,0
3,1,NaN,8.7125,0
1,2,18,79.65,1
2,1,47,15,0
1,1,60,79.2,1
3,1,22,8.05,0
3,1,NaN,8.05,0
3,1,35,7.125,0
1,2,52,78.2667,1
3,1,47,7.25,0
3,2,NaN,7.75,0
2,1,37,26,0
3,1,36,24.15,0
2,2,NaN,33,1
3,1,49,0,0
3,1,NaN,7.225,0
1,1,49,56.9292,1
2,2,24,27,1
3,1,NaN,7.8958,0
1,1,NaN,42.4,0
3,1,44,8.05,0
1,1,35,26.55,1
3,1,36,15.55,0
3,1,30,7.8958,0
1,1,27,30.5,1
2,2,22,41.5792,1
1,2,40,153.4625,1
3,2,39,31.275,0
3,1,NaN,7.05,0
3,2,NaN,15.5,1
3,1,NaN,7.75,0
3,1,35,8.05,0
2,2,24,65,1
3,1,34,14.4,0
3,2,26,16.1,0
2,2,4,39,1
2,1,26,10.5,0
3,1,27,14.4542,0
1,1,42,52.5542,1
3,1,20,15.7417,1
3,1,21,7.8542,0
3,1,21,16.1,0
1,1,61,32.3208,0
2,1,57,12.35,0
1,2,21,77.9583,1
3,1,26,7.8958,0
3,1,NaN,7.7333,0
1,1,80,30,1
3,1,51,7.0542,0
1,1,32,30.5,1
1,1,NaN,0,0
3,2,9,27.9,0
2,2,28,13,1
3,1,32,7.925,0
2,1,31,26.25,0
3,2,41,39.6875,0
3,1,NaN,16.1,0
3,1,20,7.8542,0
1,2,24,69.3,1
3,2,2,27.9,0
3,1,NaN,56.4958,1
3,2,0.75,19.2583,1
1,1,48,76.7292,1
3,1,19,7.8958,0
1,1,56,35.5,1
3,1,NaN,7.55,0
3,2,23,7.55,1
3,1,NaN,7.8958,0
2,2,18,23,1
3,1,21,8.4333,0
3,2,NaN,7.8292,1
3,2,18,6.75,0
2,1,24,73.5,0
3,1,NaN,7.8958,0
3,2,32,15.5,0
2,1,23,13,0
1,1,58,113.275,0
1,1,50,133.65,1
3,1,40,7.225,0
1,1,47,25.5875,0
3,1,36,7.4958,0
3,1,20,7.925,1
2,1,32,73.5,0
2,1,25,13,0
3,1,NaN,7.775,0
3,1,43,8.05,0
1,2,NaN,52,1
2,2,40,39,1
1,1,31,52,0
2,1,70,10.5,0
2,1,31,13,1
2,1,NaN,0,0
3,1,18,7.775,0
3,1,24.5,8.05,0
3,2,18,9.8417,1
3,2,43,46.9,0
1,1,36,512.3292,1
3,2,NaN,8.1375,0
1,1,27,76.7292,1
3,1,20,9.225,0
3,1,14,46.9,0
2,1,60,39,0
2,1,25,41.5792,0
3,1,14,39.6875,0
3,1,19,10.1708,0
3,1,18,7.7958,0
1,2,15,211.3375,1
1,1,31,57,1
3,2,4,13.4167,1
3,1,NaN,56.4958,1
3,1,25,7.225,0
1,1,60,26.55,0
2,1,52,13.5,0
3,1,44,8.05,0
3,2,NaN,7.7333,1
1,1,49,110.8833,0
3,1,42,7.65,0
1,2,18,227.525,1
1,1,35,26.2875,1
3,2,18,14.4542,0
3,1,25,7.7417,0
3,1,26,7.8542,0
2,1,39,26,0
2,2,45,13.5,1
1,1,42,26.2875,1
1,2,22,151.55,1
3,1,NaN,15.2458,1
1,2,24,49.5042,1
1,1,NaN,26.55,0
1,1,48,52,1
3,1,29,9.4833,0
2,1,52,13,0
3,1,19,7.65,0
1,2,38,227.525,1
2,2,27,10.5,1
3,1,NaN,15.5,0
3,1,33,7.775,0
2,2,6,33,1
3,1,17,7.0542,0
2,1,34,13,0
2,1,50,13,0
1,1,27,53.1,1
3,1,20,8.6625,0
2,2,30,21,1
3,2,NaN,7.7375,1
2,1,25,26,0
3,2,25,7.925,0
1,2,29,211.3375,1
3,1,11,18.7875,0
2,1,NaN,0,0
2,1,23,13,0
2,1,23,13,0
3,1,28.5,16.1,0
3,2,48,34.375,0
1,1,35,512.3292,1
3,1,NaN,7.8958,0
3,1,NaN,7.8958,0
1,1,NaN,30,1
1,1,36,78.85,0
1,2,21,262.375,1
3,1,24,16.1,0
3,1,31,7.925,1
1,1,70,71,0
3,1,16,20.25,0
2,2,30,13,1
1,1,19,53.1,0
3,1,31,7.75,0
2,2,4,23,1
3,1,6,12.475,1
3,1,33,9.5,0
3,1,23,7.8958,0
2,2,48,65,1
2,1,0.67,14.5,1
3,1,28,7.7958,0
2,1,18,11.5,0
3,1,34,8.05,0
1,2,33,86.5,1
3,1,NaN,14.5,0
3,1,41,7.125,0
3,1,20,7.2292,1
1,2,36,120,1
3,1,16,7.775,0
1,2,51,77.9583,1
1,1,NaN,39.6,0
3,2,30.5,7.75,0
3,1,NaN,24.15,0
3,1,32,8.3625,0
3,1,24,9.5,0
3,1,48,7.8542,0
2,2,57,10.5,0
3,1,NaN,7.225,0
2,2,54,23,1
3,1,18,7.75,0
3,1,NaN,7.75,0
3,2,5,12.475,1
3,1,NaN,7.7375,0
1,2,43,211.3375,1
3,2,13,7.2292,1
1,2,17,57,1
1,1,29,30,0
3,1,NaN,23.45,0
3,1,25,7.05,0
3,1,25,7.25,0
3,2,18,7.4958,1
3,1,8,29.125,0
3,1,1,20.575,1
1,1,46,79.2,0
3,1,NaN,7.75,0
2,1,16,26,0
3,2,NaN,69.55,0
1,1,NaN,30.6958,0
3,1,25,7.8958,0
2,1,39,13,0
1,2,49,25.9292,1
3,2,31,8.6833,1
3,1,30,7.2292,0
3,2,30,24.15,0
2,1,34,13,0
2,2,31,26.25,1
1,1,11,120,1
3,1,0.42,8.5167,1
3,1,27,6.975,1
3,1,31,7.775,0
1,1,39,0,0
3,2,18,7.775,0
2,1,39,13,0
1,2,33,53.1,1
3,1,26,7.8875,0
3,1,39,24.15,0
2,1,35,10.5,0
3,2,6,31.275,0
3,1,30.5,8.05,0
1,1,NaN,0,0
3,2,23,7.925,0
2,1,31,37.0042,0
3,1,43,6.45,0
3,1,10,27.9,0
1,2,52,93.5,1
3,1,27,8.6625,1
1,1,38,0,0
3,2,27,12.475,1
3,1,2,39.6875,0
3,1,NaN,6.95,0
3,1,NaN,56.4958,0
2,1,1,37.0042,1
3,1,NaN,7.75,1
1,2,62,80,1
3,2,15,14.4542,1
2,1,0.83,18.75,1
3,1,NaN,7.2292,0
3,1,23,7.8542,0
3,1,18,8.3,0
1,2,39,83.1583,1
3,1,21,8.6625,0
3,1,NaN,8.05,0
3,1,32,56.4958,1
1,1,NaN,29.7,1
3,1,20,7.925,0
2,1,16,10.5,0
1,2,30,31,1
3,1,34.5,6.4375,0
3,1,17,8.6625,0
3,1,42,7.55,0
3,1,NaN,69.55,0
3,1,35,7.8958,0
2,1,28,33,0
1,2,NaN,89.1042,1
3,1,4,31.275,0
3,1,74,7.775,0
3,2,9,15.2458,0
1,2,16,39.4,1
2,2,44,26,0
3,2,18,9.35,1
1,2,45,164.8667,1
1,1,51,26.55,1
3,2,24,19.2583,1
3,1,NaN,7.2292,0
3,1,41,14.1083,0
2,1,21,11.5,0
1,2,48,25.9292,1
3,2,NaN,69.55,0
2,1,24,13,0
2,2,42,13,1
2,2,27,13.8583,1
1,1,31,50.4958,0
3,1,NaN,9.5,0
3,1,4,11.1333,1
3,1,26,7.8958,0
1,2,47,52.5542,1
1,1,33,5,0
3,1,47,9,0
2,2,28,24,1
3,2,15,7.225,1
3,1,20,9.8458,0
3,1,19,7.8958,0
3,1,NaN,7.8958,0
1,2,56,83.1583,1
2,2,25,26,1
3,1,33,7.8958,0
3,2,22,10.5167,0
2,1,28,10.5,0
3,1,25,7.05,0
3,2,39,29.125,0
2,1,27,13,0
1,2,19,30,1
3,2,NaN,23.45,0
1,1,26,30,1
3,1,32,7.75,0
